ID,name,category,main_category,currency,deadline,goal,launched,pledged,backers,country,usd pledged,usd_pledged_real,usd_goal_real
1703704063,drawing for dollars,illustration,art,usd,2009-05-03,20.0,2009-04-24 21:52:03,35.0,3,us,35.0,35.0,20.0
727286,offline wikipedia iphone app,software,technology,usd,2009-07-14,99.0,2009-04-25 17:36:21,145.0,25,us,145.0,145.0,99.0
2089078683,new york makes a book!!,journalism,journalism,usd,2009-05-16,3000.0,2009-04-28 13:55:41,3329.0,110,us,3329.0,3329.0,3000.0
266044220,help me write my second novel.,fiction,publishing,usd,2009-05-29,500.0,2009-04-29 02:58:50,563.0,18,us,563.0,563.0,500.0
469734648,kicey to iceland,photography,photography,usd,2009-06-17,350.0,2009-04-29 06:43:44,1630.0,31,us,1630.0,1630.0,350.0
515267366,crossword puzzles!,puzzles,games,usd,2009-06-30,1500.0,2009-04-29 13:52:03,2265.0,163,us,2265.0,2265.0,1500.0
177921463,icons for your iphone apps,software,technology,usd,2009-06-15,500.0,2009-04-29 23:11:15,1820.0,98,us,1820.0,1820.0,500.0
1099226462,logical guess pictures' 2nd horror movie!,film & video,film & video,usd,2009-06-06,500.0,2009-04-30 01:32:55,501.66,22,us,501.66,501.66,500.0
2147219671,you are among friends: a book for the little sisters i never had,publishing,publishing,usd,2009-07-01,350.0,2009-04-30 07:14:06,750.0,41,us,750.0,750.0,350.0
1304906577,accidental to edinburgh - phase 1: airfare,theater,theater,usd,2009-06-05,6000.0,2009-04-30 22:22:43,6575.0,24,us,6575.0,6575.0,6000.0
1801448924,accidental to edinburgh - phase 1: rebuilding the set,theater,theater,usd,2009-07-15,10000.0,2009-04-30 22:23:22,10145.0,27,us,10145.0,10145.0,10000.0
901991585,produce my play,theater,theater,usd,2009-06-01,500.0,2009-05-01 05:06:19,575.0,21,us,575.0,575.0,500.0
405307432,electronola - an electronic gumbo of new orleans music,electronic music,music,usd,2009-06-05,4000.0,2009-05-01 17:44:25,4100.6,114,us,4100.6,4100.6,4000.0
857679098,up north cookbook,nonfiction,publishing,usd,2009-07-01,500.0,2009-05-01 17:51:24,760.0,29,us,760.0,760.0,500.0
2096107260,as the dust settles,film & video,film & video,usd,2009-06-02,200.0,2009-05-03 08:37:56,202.0,7,us,202.0,202.0,200.0
1100844465,daily digest,documentary,film & video,usd,2009-06-01,700.0,2009-05-04 21:14:28,700.0,14,us,700.0,700.0,700.0
1316334968,drive a faster car 2.0,nonfiction,publishing,usd,2009-06-04,1000.0,2009-05-04 22:51:31,1367.0,32,us,1367.0,1367.0,1000.0
772300929,"""lostles"" at tiny's giant",painting,art,usd,2009-06-06,5000.0,2009-05-05 01:48:21,5045.0,44,us,5045.0,5045.0,5000.0
585544140,"unbunny's ""black strawberries"" limited-edition lp",indie rock,music,usd,2009-07-06,3500.0,2009-05-05 07:03:37,3690.0,132,us,3690.0,3690.0,3500.0
178359628,365 postcards,public art,art,usd,2009-07-01,365.0,2009-05-06 18:20:07,626.0,54,us,626.0,626.0,365.0
1619303430,fruit slinger: from farm to market,journalism,journalism,usd,2009-07-14,950.0,2009-05-09 02:48:42,1090.5,30,us,1090.5,1090.5,950.0
353710709,decorative nihilism art catalog,painting,art,usd,2009-07-01,100.0,2009-05-12 19:02:11,160.0,10,us,160.0,160.0,100.0
530647695,late night tunes,music,music,usd,2009-07-01,500.0,2009-05-13 04:30:06,510.0,38,us,510.0,510.0,500.0
1839304671,"indie nerd board game, needs player character miniature sculpted!  ",tabletop games,games,usd,2009-06-15,1500.0,2009-05-15 08:39:20,1741.02,28,us,1741.02,1741.02,1500.0
1216330417,do it again: one man's quest to reunite the kinks,documentary,film & video,usd,2009-08-10,5500.0,2009-05-17 05:55:13,6632.32,79,us,6632.32,6632.32,5500.0
827245452,project pedal,documentary,film & video,usd,2009-06-21,1000.0,2009-05-19 01:40:18,1105.0,20,us,1105.0,1105.0,1000.0
2102353591,allison weiss makes a full-length record!,indie rock,music,usd,2009-08-02,2000.0,2009-05-19 18:14:47,7711.16,205,us,7711.16,7711.16,2000.0
354019143,zombie defense iphone app,software,technology,usd,2009-07-14,700.0,2009-05-19 22:52:59,700.79,14,us,700.79,700.79,700.0
1962819822,high strangeness: a 12 bit action / adventure video game.,video games,games,usd,2009-08-18,1500.0,2009-05-20 22:57:54,1559.0,36,us,1559.0,1559.0,1500.0
508082582,incredibly small: a 300 square foot feature film,film & video,film & video,usd,2009-08-02,1000.0,2009-05-22 18:51:32,1497.0,35,us,1497.0,1497.0,1000.0
466634876,open business cards,digital art,art,usd,2009-07-15,100.0,2009-05-24 01:51:23,215.0,11,us,215.0,215.0,100.0
1711918245,an alternate life - a photo project,photography,photography,usd,2009-08-02,500.0,2009-05-24 21:10:24,510.0,10,us,510.0,510.0,500.0
1412765122,quixote & evangenitals to edinburgh fringe festival! ,animation,film & video,usd,2009-07-15,9999.0,2009-05-27 12:08:25,10184.5,98,us,10184.5,10184.5,9999.0
725798626,we scream: voices from the ice cream underground,indie rock,music,usd,2009-07-01,2000.0,2009-05-27 12:36:15,2399.5,57,us,2399.5,2399.5,2000.0
184744865,tattoo documentary ,documentary,film & video,usd,2009-08-26,6000.0,2009-05-29 02:44:11,6127.0,75,us,6127.0,6127.0,6000.0
1143904247,it might become a movie,shorts,film & video,usd,2009-07-01,1000.0,2009-05-29 18:56:20,1137.0,23,us,1137.0,1137.0,1000.0
1451130282,comic remix,comics,comics,usd,2009-06-15,60.0,2009-05-30 05:00:36,71.84,6,us,71.84,71.84,60.0
1125367305,meeting andrei tarkovsky - film website,documentary,film & video,usd,2009-06-21,1250.0,2009-05-30 06:27:42,2721.0,60,us,2721.0,2721.0,1250.0
2133770001,firewall of sound,documentary,film & video,usd,2009-07-10,1000.0,2009-05-30 06:47:39,1197.0,19,us,1197.0,1197.0,1000.0
2078868226,help make attractive eighties women's new album,indie rock,music,usd,2009-07-11,1000.0,2009-06-01 00:55:33,2027.0,74,us,2027.0,2027.0,1000.0
755288436,help me get equipment and i'll make a song for you,music,music,usd,2009-07-15,360.0,2009-06-01 03:37:06,360.0,14,us,360.0,360.0,360.0
665820533,produce jiggsaw's new ep,music,music,usd,2009-08-12,800.0,2009-06-01 09:58:42,1057.22,16,us,1057.22,1057.22,800.0
737331933,send some kids to gamecamp!,video games,games,usd,2009-07-03,3000.0,2009-06-02 20:33:11,3204.0,36,us,3204.0,3204.0,3000.0
